"ID_vol";"Year";"Month";"DayofMonth";"DayOfWeek";"Dep_hour";"Dep_min";"Arr_hour";"Arr_min";"ArrDelay";"DepDelay";"Origin";"Dest";"Distance"
"1";2008;"07";"01";2;"09";"43";"12";"18";14;-7;"BOS";"CLT";728
"2";2008;"11";"12";3;"10";"40";"13";"02";37;9;"ICT";"ORD";588
"3";2008;"08";"19";2;"06";"57";"08";"08";-10;-3;"ANC";"BET";399
"4";2008;"11";"30";7;"12";"58";"17";"08";26;-2;"LAX";"KOA";2504
"5";2008;"09";"21";7;"10";"01";"12";"46";-14;-4;"MSP";"DTW";528
"6";2008;"04";"19";6;"05";"59";"07";"44";-5;-1;"DTW";"IAH";1076
"7";2008;"11";"09";7;"18";"13";"21";"08";-12;-8;"MKE";"ATL";669
"8";2008;"01";"24";4;"09";"56";"12";"05";-5;-4;"RDU";"DFW";1062
"9";2008;"07";"03";4;"20";"08";"21";"47";12;3;"BNA";"PHX";1448
"10";2008;"03";"14";5;"19";"19";"20";"17";-10;-6;"LAX";"SBP";155
"11";2008;"01";"21";1;"16";"38";"19";"29";-16;3;"MDW";"PHL";668
"12";2008;"04";"18";5;"15";"07";"20";"17";-12;-3;"SEA";"MSP";1399
"13";2008;"08";"23";6;"09";"22";"10";"21";-16;-3;"ATL";"LAS";1747
"14";2008;"11";"14";5;"20";"18";"22";"40";200;213;"TPA";"PHL";920
"15";2008;"01";"16";3;"14";"40";"15";"33";26;30;"DFW";"SPS";113
"16";2008;"03";"17";1;"20";"25";"23";"54";29;35;"ORD";"TPA";1012
"17";2008;"05";"07";3;"14";"58";"16";"03";0;-6;"ATL";"VLD";208
"18";2008;"01";"30";3;"10";"54";"12";"12";-13;-6;"SAN";"SJC";417
"19";2008;"08";"22";5;"12";"21";"13";"37";-13;1;"PHL";"CMH";405
"20";2008;"11";"09";7;"10";"28";"11";"46";-12;-6;"MFR";"SFO";329
"21";2008;"07";"25";5;"12";"35";"20";"54";-15;-4;"LIH";"LAX";2615
"22";2008;"03";"14";5;"08";"42";"11";"02";-1;2;"CLE";"MCO";895
"23";2008;"11";"22";6;"14";"10";"16";"11";1;-5;"PNS";"DFW";604
"24";2008;"11";"04";2;"12";"15";"13";"44";9;0;"CRP";"DFW";354
"25";2008;"04";"28";1;"13";"14";"14";"09";-11;-1;"MSP";"FSD";197
"26";2008;"10";"11";6;"07";"27";"10";"14";-9;-3;"PHL";"LAX";2401
"27";2008;"03";"12";3;"16";"28";"17";"28";-5;-3;"SLC";"OAK";588
"28";2008;"05";"12";1;"18";"00";"20";"32";-7;0;"CLT";"SFO";2296
"29";2008;"09";"12";5;"10";"55";"13";"11";21;-5;"OMA";"DFW";583
"30";2008;"08";"29";5;"20";"57";"23";"02";-11;-8;"SFO";"TUS";751
"31";2008;"01";"27";7;"21";"23";"22";"08";13;13;"CVG";"DSM";505
"32";2008;"05";"21";3;"20";"56";"22";"29";7;6;"IAH";"SNA";1347
"33";2008;"10";"16";4;"07";"08";"08";"06";6;-2;"DAL";"AUS";189
